ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
589,vectorized_elementwise_kernel,6.50,108,71.93,71.93,87.97,100,28.73,40.59
590,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.18,100,0,89.51
591,vectorized_elementwise_kernel,0.02,108,0.44,0.08,6.06,100,0,90.24
592,vectorized_elementwise_kernel,15.25,108,68.01,68.01,84.68,100,0,54.86
593,reduce_kernel,11.20,108,48.40,48.40,41.99,62.50,15,21.19
594,vectorized_elementwise_kernel,5.43,108,25.61,0.03,32.24,100,0,96.36
595,embedding_backward_feature_kernel,4.99,108,4.22,4.22,49.83,100,32.65,39.26
596,vectorized_elementwise_kernel,4.60,108,27.38,22.33,47.92,100,0,53.61
597,elementwise_kernel_with_index,0.42,108,1.55,0.04,3.61,100,0,97.65
598,DeviceRadixSortHistogramKernel,24.18,108,13.17,0.48,36.19,43.75,0,58.01
599,DeviceRadixSortExclusiveSumKernel,0.14,108,0.61,0.25,12.38,100,50,83.14
600,DeviceRadixSortOnesweepKernel,0.84,108,0.94,0.47,18.64,18.75,8.96,72.37
601,DeviceRadixSortOnesweepKernel,0.93,108,0.85,0.53,18.67,18.75,11.05,61.78
602,DeviceRadixSortOnesweepKernel,0.62,108,0.85,0.57,18.29,18.75,1.11,67.10
603,DeviceRadixSortOnesweepKernel,0.64,108,0.91,0.59,18.26,18.75,1.11,61.38
604,DeviceRadixSortOnesweepKernel,0.61,108,0.98,0.59,18.31,18.75,1.11,66.99
605,DeviceRadixSortOnesweepKernel,0.64,108,0.91,0.58,18.25,18.75,1.11,67.46
606,DeviceRadixSortOnesweepKernel,0.61,108,0.88,0.57,18.33,18.75,1.11,61.08
607,DeviceRadixSortOnesweepKernel,0.63,108,0.86,0.58,18.25,18.75,1.11,67.43
608,vectorized_elementwise_kernel,13.06,108,87.82,72.21,73.29,100,0,100.24
609,DeviceCompactInitKernel,0.01,108,0.47,0.04,6.13,100,0,95.42
610,DeviceUniqueByKeySweepKernel,0.48,108,1.15,0.74,3.12,62.50,3.72,71.32
611,krn_partials_per_segment,0.35,108,0.56,0.13,3.33,50,39.92,87.71
612,DeviceScanInitKernel,0.01,108,0.47,0.04,6.08,100,0,95.36
613,DeviceScanKernel,0.38,108,1.06,0.65,6.22,75,0.11,71.39
614,compute_num_of_partial_segments,0.00,108,0.35,0.03,1.56,50,0,93.76
615,krn_partial_segment_offset,0.35,108,0.63,0.28,3.32,50,24.33,78.76
616,compute_grad_weight,48.55,108,23.00,20.25,56.75,75,33.92,17.71
617,sum_and_scatter,47.24,108,18.58,3.85,55.93,75,57.12,49.95
618,vectorized_elementwise_kernel,8.39,108,85.61,85.61,89.01,100,0,62.00
