case_name,excl_comp_ms,excl_comm_ms,bubble_ms,overlap_ms,e2e_total_ms
qwen3_case1,593.5544,23.854548,694.65344,152.292956,1464.355344
qwen3_case2,645.11541,425.362139,520.199456,32.462796,1623.139801
qwen3_case3,656.994,546.608785,500.652822,27.711473,1731.96708
deepseek_v3_variant_case2,441.29442,50.29437,371.815789,16.722413,880.126992
deepseek_v3_variant_case3,393.02389,275.185416,219.84784,25.581893,913.639039
