case_name,excl_comp_ms,excl_comm_ms,bubble_ms,overlap_ms,e2e_total_ms
qwen3_case1,586.86475,105.336084,694.65344,180.212702,1567.066976
qwen3_case2,641.82736,275.179498,520.199456,108.176819,1545.383133
qwen3_case3,663.05856,472.578073,500.652822,61.106245,1697.395701
deepseek_v3_variant_case2,438.11964,21.175983,371.815789,112.26136,943.372772
deepseek_v3_variant_case3,393.42782,258.743112,219.84784,72.746961,944.765733
