timestamp,comp_time_ms,comm_time_ms,comp_time_sec,comm_time_sec,total_time_sec,comp_ratio,comm_ratio,comp_operations,comm_operations
042249,6133.579999999996,21471.280000000006,6.133579999999997,21.471280000000007,27.604860000000002,0.22219203430120624,0.7778079656987938,481,578
042508,20171.950000000015,15776.319999999985,20.171950000000017,15.776319999999986,35.94827,0.5611382689625958,0.4388617310374041,2401,2498
042607,17850.910000000153,20053.35999999991,17.85091000000015,20.05335999999991,37.90427000000006,0.47094720462892764,0.5290527953710723,1249,1346
042804,16911.350000000024,39741.07000000019,16.911350000000024,39.74107000000019,56.65242000000022,0.29851063732140587,0.7014893626785941,2497,2690
042946,20171.950000000015,15776.319999999985,20.171950000000017,15.776319999999986,35.94827,0.5611382689625958,0.4388617310374041,2401,2498
043046,17850.910000000153,20053.35999999991,17.85091000000015,20.05335999999991,37.90427000000006,0.47094720462892764,0.5290527953710723,1249,1346
043236,16911.350000000024,39741.07000000019,16.911350000000024,39.74107000000019,56.65242000000022,0.29851063732140587,0.7014893626785941,2497,2690
043336,6133.579999999996,21471.280000000006,6.133579999999997,21.471280000000007,27.604860000000002,0.22219203430120624,0.7778079656987938,481,578
043433,6276.960000000014,28568.419999999714,6.276960000000014,28.568419999999715,34.84537999999973,0.18013751033853162,0.8198624896614684,961,1154
043740,6711.6500000002015,34099.590000000055,6.711650000000201,34.099590000000056,40.811240000000254,0.1644559194966916,0.8355440805033085,1921,2306
