Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
distribution_elementwise_grid_stride_kernel,75.07,16.99,16.99,56.82,75,45.71,99.98
vectorized_elementwise_kernel,0.06,11.12,0.03,6.09,100,0,99.40
distribution_elementwise_grid_stride_kernel,75.47,18.39,18.39,56.95,75,45.69,99.25
vectorized_elementwise_kernel,0.08,11.31,0.04,4.14,100,0,99.50
distribution_elementwise_grid_stride_kernel,75.28,18.29,18.29,56.64,75,45.69,99.72
vectorized_elementwise_kernel,0.16,11.02,0.04,6.38,100,0,99.22
distribution_elementwise_grid_stride_kernel,72.19,15.47,7.41,56.97,75,45.81,99.77
vectorized_elementwise_kernel,0.16,11.19,0.04,6.22,100,0,98.68
distribution_elementwise_grid_stride_kernel,75.12,17.04,17.04,56.79,75,45.71,99.72
vectorized_elementwise_kernel,0.06,11.16,0.03,6.19,100,0,98.10
distribution_elementwise_grid_stride_kernel,75.58,18.39,18.39,56.95,75,45.69,99.99
vectorized_elementwise_kernel,0.08,11.34,0.04,6.98,100,0,99.50
distribution_elementwise_grid_stride_kernel,75.34,18.35,18.35,56.65,75,45.67,99.97
vectorized_elementwise_kernel,0.16,10.97,0.03,5.03,100,0,99.95
distribution_elementwise_grid_stride_kernel,72.18,15.47,7.50,56.93,75,45.78,99.75
vectorized_elementwise_kernel,0.15,10.73,0.04,6.18,100,0,98.84
distribution_elementwise_grid_stride_kernel,75.15,16.98,16.98,56.80,75,45.69,99.85
vectorized_elementwise_kernel,0.06,11.13,0.03,7.60,100,0,98.58
distribution_elementwise_grid_stride_kernel,75.55,18.41,18.41,56.95,75,45.70,99.71
vectorized_elementwise_kernel,0.08,11.35,0.04,5.95,100,0,98.51
distribution_elementwise_grid_stride_kernel,75.31,18.31,18.31,56.63,75,45.70,99.71
vectorized_elementwise_kernel,0.16,10.93,0.04,6.06,100,0,98.56
distribution_elementwise_grid_stride_kernel,72.13,15.45,7.68,56.78,75,45.82,100.11
vectorized_elementwise_kernel,0.15,10.51,0.03,5.99,100,0,98.72
distribution_elementwise_grid_stride_kernel,75.09,16.93,16.93,56.72,75,45.74,100.10
vectorized_elementwise_kernel,0.06,11.15,0.04,6.30,100,0,99.74
distribution_elementwise_grid_stride_kernel,75.57,18.44,18.44,56.97,75,45.68,99.60
vectorized_elementwise_kernel,0.08,11.35,0.04,6.23,100,0,98.78
distribution_elementwise_grid_stride_kernel,75.29,18.29,18.29,56.65,75,45.70,99.70
vectorized_elementwise_kernel,0.16,11.06,0.04,7.63,100,0,100.50
distribution_elementwise_grid_stride_kernel,72.22,15.49,7.65,56.97,75,45.80,99.57
