0,1784719275265834374,1784719291802237152,16536402778
8,1784719291898633210,1784719308451293646,16552660436
16,1784719308546525881,1784719325089138370,16542612489
24,1784719325184807817,1784719341742419031,16557611214
32,1784719341901779231,1784719359352985329,17451206098
40,1784719359450665847,1784719376259560731,16808894884
48,1784719376356467691,1784719392932855080,16576387389
56,1784719393028952144,1784719409659326174,16630374030
64,1784719409753622932,1784719426326784577,16573161645
72,1784719426424172267,1784719443103124674,16678952407
80,1784719443198547382,1784719459739471165,16540923783
88,1784719459839908042,1784719476373686702,16533778660
96,1784719476470910521,1784719493018738585,16547828064
104,1784719493115959999,1784719509700502217,16584542218
112,1784719509798135075,1784719526384871351,16586736276
120,1784719526483083728,1784719543184827460,16701743732
128,1784719543287476744,1784719559921345360,16633868616
136,1784719560018890655,1784719576588933451,16570042796
144,1784719576686253511,1784719593235190069,16548936558
152,1784719593335869853,1784719609870891314,16535021461
160,1784719609968894911,1784719626516789654,16547894743
168,1784719626613335245,1784719643966705837,17353370592
176,1784719644062388468,1784719660592271476,16529883008
184,1784719660688639706,1784719677326608956,16637969250
192,1784719677422026994,1784719694050316708,16628289714
200,1784719694143251572,1784719710726247990,16582996418
208,1784719710823373625,1784719727396839851,16573466226
216,1784719727493724668,1784719744027854324,16534129656
224,1784719744125130679,1784719760669137113,16544006434
232,1784719760763677599,1784719777278456050,16514778451
240,1784719777375668612,1784719793922021222,16546352610
248,1784719794019496774,1784719810600344857,16580848083
