ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
134,vectorized_elementwise_kernel,9.94,132,88.86,88.86,87.58,100,24.44,35.47
135,vectorized_elementwise_kernel,11.64,132,82.82,82.82,83.25,100,0,52.98
136,vectorized_elementwise_kernel,9.95,132,88.92,88.92,87.30,100,24.34,35.53
137,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,80.96,132,63.62,30.62,12.44,12.50,10.88,60.23
138,Kernel,85.31,132,35.56,6.91,12.48,12.50,7.08,69.75
139,reduce_kernel,11.93,132,59.37,59.37,52.11,56.25,5.59,7.24
140,vectorized_elementwise_kernel,0.04,132,8.54,0.13,5.73,100,0,98.12
141,vectorized_elementwise_kernel,9.83,132,36.16,36.16,70.14,100,0,53.04
142,layer_norm_grad_input_kernel,53.96,132,67.60,62.33,89.32,100,79.88,40.16
143,GammaBetaBackwardCUDAKernel_32x32,9.37,132,35.08,35.08,50.28,100,0.09,8.85
144,vectorized_elementwise_kernel,10.99,132,75.79,75.79,82.32,100,29.47,37.23
145,vectorized_elementwise_kernel,0.01,132,8.79,0.06,5.47,100,0,99.06
146,vectorized_elementwise_kernel,0.02,132,9.69,0.06,6.16,100,0,99.15
147,vectorized_elementwise_kernel,14.90,132,65.40,65.40,78.03,100,0,48.74
148,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,77.14,132,73.81,9.28,12.42,12.50,6.83,88.39
149,Kernel,85.60,132,35.10,6.29,12.51,12.50,0,64.66
150,splitKreduce_kernel,17.16,132,40.52,40.52,85.41,100,0,17.63
151,reduce_kernel,7.98,132,30.86,30.86,35.99,56.25,7.41,13.93
152,vectorized_elementwise_kernel,0.01,132,9.58,0.06,5.53,100,0,99.15
153,vectorized_elementwise_kernel,5.38,132,17.94,15.56,36.41,100,0,59.87
154,elementwise_kernel,65.03,132,38.99,38.99,82.00,100,0,54.75
155,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.20,132,58.70,40.31,12.28,12.50,0.04,24.12
156,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,64.31,132,51.19,26.22,12.43,12.50,1.02,93.22
157,vectorized_elementwise_kernel,14.15,132,89.05,89.05,85.80,100,0,47.23
158,vectorized_elementwise_kernel,9.76,132,91.37,91.37,87.40,100,0,35.68
159,softmax_warp_backward,13.52,132,90.68,90.68,50.58,56.25,0,35.38
160,vectorized_elementwise_kernel,0.01,132,11.24,0.04,5.51,100,0,99.56
161,elementwise_kernel,81.56,132,48.65,48.65,85.00,100,15.59,69.19
162,elementwise_kernel,67.36,132,61.01,61.01,86.18,100,11.11,50.54
163,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.62,132,59.01,40.50,12.21,12.50,0,18.60
164,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,75.93,132,85.75,33.40,23.36,25,0.00,69.59
165,elementwise_kernel,64.59,132,38.31,38.31,81.36,100,0,52.28
166,elementwise_kernel,64.92,132,38.21,38.21,83.59,100,0,54.48
167,CatArrayBatchedCopy,52.07,132,55.99,42.81,82.12,100,0,72.73
168,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,78.50,132,75.30,9.16,12.42,12.50,6.31,84.29
169,Kernel,82.96,132,34.32,5.79,12.49,12.50,5.50,67.74
170,reduce_kernel,11.98,132,49.73,49.73,50.47,56.25,7.19,10.32
171,vectorized_elementwise_kernel,0.04,132,9.43,0.12,5.79,100,0,98.44
172,vectorized_elementwise_kernel,8.84,132,31.63,31.63,65.74,100,0,54.19
173,layer_norm_grad_input_kernel,52.93,132,66.23,61.61,88.33,100,79.69,41.10
174,GammaBetaBackwardCUDAKernel_32x32,9.50,132,35.57,35.57,49.83,100,0.09,12.37
175,vectorized_elementwise_kernel,10.99,132,76.16,76.16,82.62,100,29.31,38.53
176,vectorized_elementwise_kernel,0.01,132,9.50,0.06,5.51,100,0,99.04
177,vectorized_elementwise_kernel,0.01,132,9.63,0.06,6.19,100,0,99.19
178,vectorized_elementwise_kernel,14.18,132,61.44,61.44,81.12,100,0,50.07
179,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,86.09,132,67.31,7.73,12.47,12.50,12.12,90.34
180,Kernel,85.37,132,35.58,5.97,12.46,12.50,7.08,72.69
181,reduce_kernel,8.05,132,31.09,31.09,35.72,56.25,7.41,11.62
182,vectorized_elementwise_kernel,0.02,132,9.99,0.07,6.25,100,0,99.17
183,vectorized_elementwise_kernel,9.69,132,35.77,35.77,67.78,100,0,54.79
184,vectorized_elementwise_kernel,9.85,132,88.88,88.88,86.93,100,0,38.51
185,vectorized_elementwise_kernel,9.92,132,89.50,89.50,86.99,100,0,38.42
186,vectorized_elementwise_kernel,9.92,132,89.42,89.42,87.05,100,0,36.33
187,vectorized_elementwise_kernel,11.78,132,83.86,83.86,82.62,100,0,52.44
188,vectorized_elementwise_kernel,11.63,132,82.79,82.79,82.09,100,0,51.67
189,vectorized_elementwise_kernel,11.73,132,83.31,83.31,84.57,100,0,52.39
190,vectorized_elementwise_kernel,11.87,132,84.46,84.46,82.67,100,0,52.90
191,vectorized_elementwise_kernel,9.91,132,89.24,89.24,86.87,100,0,36.93
192,vectorized_elementwise_kernel,10.05,132,89.74,89.74,86.63,100,24.19,35.27
193,vectorized_elementwise_kernel,11.61,132,82.70,82.70,83.21,100,0,52.82
194,vectorized_elementwise_kernel,9.96,132,88.98,88.98,87.19,100,24.32,35.38
195,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,80.61,132,63.34,30.52,12.45,12.50,10.70,60.04
196,Kernel,85.28,132,35.56,6.98,12.48,12.50,7.08,68.86
197,reduce_kernel,11.97,132,59.66,59.66,50.60,56.25,5.54,7.49
198,vectorized_elementwise_kernel,0.05,132,9.21,0.14,5.97,100,0,98.01
199,vectorized_elementwise_kernel,9.83,132,36.14,36.14,69.60,100,0,52.83
200,layer_norm_grad_input_kernel,52.93,132,66.14,61.17,89.60,100,79.83,41.38
201,GammaBetaBackwardCUDAKernel_32x32,9.50,132,35.55,35.55,49.99,100,0.09,10.27
202,vectorized_elementwise_kernel,10.86,132,75.59,75.59,81.92,100,29.23,37.88
203,vectorized_elementwise_kernel,0.02,132,9.82,0.06,7.53,100,0,99.10
204,vectorized_elementwise_kernel,0.02,132,10.04,0.07,6.78,100,0,99.02
205,vectorized_elementwise_kernel,15.04,132,66.35,66.35,80.40,100,0,49.71
206,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,77.08,132,73.73,9.24,12.42,12.50,2.06,87.49
207,Kernel,85.47,132,35.04,6.28,12.51,12.50,0,65.01
208,splitKreduce_kernel,16.65,132,39.30,39.30,92.24,100,0,18.55
209,reduce_kernel,7.99,132,30.86,30.86,35.22,56.25,7.41,13.93
210,vectorized_elementwise_kernel,0.01,132,9.34,0.06,6.08,100,0,99.01
211,vectorized_elementwise_kernel,5.43,132,18.11,15.68,40.68,100,0,61.13
212,elementwise_kernel,65.17,132,38.75,38.75,83.09,100,0,55.29
213,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.40,132,58.84,40.41,12.26,12.50,0.04,23.39
214,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,64.26,132,51.15,26.22,12.43,12.50,0.83,92.79
215,vectorized_elementwise_kernel,14.18,132,89.21,89.21,85.65,100,0,47.75
216,vectorized_elementwise_kernel,9.74,132,91.13,91.13,86.45,100,0,35.89
217,softmax_warp_backward,13.51,132,90.53,90.53,50.97,56.25,0,35.43
218,vectorized_elementwise_kernel,0.01,132,10.88,0.03,5.63,100,0,99.51
219,elementwise_kernel,81.47,132,48.64,48.64,85.15,100,15.60,69.42
220,elementwise_kernel,67.66,132,61.36,61.36,86.33,100,11.11,50.60
221,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.52,132,58.96,40.45,12.20,12.50,0,20.08
222,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,76.11,132,85.96,33.42,23.40,25,0.00,69.59
223,elementwise_kernel,64.58,132,38.06,38.06,81.66,100,0,52.90
224,elementwise_kernel,64.75,132,37.78,37.78,81.91,100,0,53.52
225,CatArrayBatchedCopy,52.58,132,57.85,43.21,83.42,100,0,74.79
226,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,78.51,132,75.30,9.20,12.43,12.50,7.77,87.43
227,Kernel,83.05,132,34.35,5.80,12.47,12.50,5.50,68.87
228,reduce_kernel,12.44,132,51.49,51.49,50.47,56.25,7.19,9.94
229,vectorized_elementwise_kernel,0.04,132,9.80,0.12,6.11,100,0,98.67
230,vectorized_elementwise_kernel,8.92,132,31.85,31.85,67.27,100,0,54.26
231,layer_norm_grad_input_kernel,51.50,132,64.55,59.97,89.13,100,79.77,40.27
232,GammaBetaBackwardCUDAKernel_32x32,9.43,132,35.35,35.35,50.49,100,0.09,8.72
233,vectorized_elementwise_kernel,10.94,132,76.28,76.28,81.22,100,29.43,37.69
234,vectorized_elementwise_kernel,0.01,132,8.86,0.06,6.44,100,0,99.15
235,vectorized_elementwise_kernel,0.02,132,9.88,0.06,6.05,100,0,99.17
236,vectorized_elementwise_kernel,15.05,132,66.61,66.61,80.46,100,0,50.47
237,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,86.06,132,67.28,7.71,12.46,12.50,12.40,90.02
238,Kernel,85.19,132,35.51,6.26,12.47,12.50,7.08,71.42
239,reduce_kernel,7.92,132,30.61,30.61,34.12,56.25,7.45,11.94
240,vectorized_elementwise_kernel,0.02,132,9.68,0.06,6.25,100,0,99.09
241,vectorized_elementwise_kernel,9.70,132,35.64,35.64,73.19,100,0,52.96
242,vectorized_elementwise_kernel,9.92,132,89.38,89.38,85.89,100,0,37.84
243,vectorized_elementwise_kernel,9.87,132,89.01,89.01,87.77,100,0,37.12
244,vectorized_elementwise_kernel,9.93,132,89.65,89.65,87.53,100,0,37.05
245,vectorized_elementwise_kernel,11.55,132,82.25,82.25,82.87,100,0,52.13
246,vectorized_elementwise_kernel,11.57,132,82.51,82.51,82.64,100,0,51.95
247,vectorized_elementwise_kernel,11.86,132,84.22,84.22,82.37,100,0,52.38
248,vectorized_elementwise_kernel,11.66,132,82.77,82.77,83.83,100,0,52.74
249,vectorized_elementwise_kernel,9.91,132,89.33,89.33,87.06,100,0,36.86
250,vectorized_elementwise_kernel,10.05,132,89.80,89.80,87.12,100,24.43,35.24
251,vectorized_elementwise_kernel,11.81,132,83.77,83.77,81.78,100,0,53.00
252,vectorized_elementwise_kernel,9.97,132,89.11,89.11,86.79,100,24.36,35.58
253,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,80.50,132,63.26,30.26,12.48,12.50,9.94,60.55
254,Kernel,85.34,132,35.57,6.89,12.48,12.50,7.08,70.41
255,reduce_kernel,11.68,132,58.08,58.08,53.52,56.25,5.51,7.61
256,vectorized_elementwise_kernel,0.05,132,9.77,0.15,6.07,100,0,98.21
257,vectorized_elementwise_kernel,9.27,132,34.13,34.13,69.11,100,0,52.99
258,layer_norm_grad_input_kernel,52.88,132,66.23,61.10,87.18,100,79.88,40.65
259,GammaBetaBackwardCUDAKernel_32x32,9.43,132,35.27,35.27,49.35,100,0.09,9.66
260,vectorized_elementwise_kernel,11.01,132,76.65,76.65,83.40,100,29.44,38.50
261,vectorized_elementwise_kernel,0.01,132,9.00,0.06,6.64,100,0,99.21
262,vectorized_elementwise_kernel,0.01,132,9.04,0.06,6.14,100,0,99.04
