world_size,tp,pp,dp,micro_batch_size,global_batch_size,num_microbatches,selected_ranks_count,selected_ranks,cc_backend,sim_load_time_s,sim_execution_time_s,outer_wallclock_s,status,schedule_dir,database_dir,stdout_log,stderr_log
8,8,1,1,1,1,1,1,0,analytical,0.001381,2e-06,0.1443505585193634,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_8/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_8/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_8.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_8.stderr.log
16,8,2,1,1,1,1,2,0;8,analytical,0.002721,0.000712,0.14619072154164314,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_16/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_16/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_16.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_16.stderr.log
32,8,4,1,1,1,1,4,0;8;16;24,analytical,0.004285,0.001267,0.15354713518172503,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_32/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_32/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_32.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_32.stderr.log
64,8,8,1,1,1,1,8,0;8;16;24;32;40;48;56,analytical,0.00731,0.002396,0.15571505296975374,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_64/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_64/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_64.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_64.stderr.log
256,8,8,4,1,4,1,8,0;32;64;96;128;160;192;224,analytical,0.007287,0.003207,0.1679442748427391,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_256/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_256/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_256.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_256.stderr.log
512,8,8,8,1,8,1,8,0;64;128;192;256;320;384;448,analytical,0.007329,0.003247,0.1992721874266863,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_512/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_512/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_512.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_512.stderr.log
1024,8,16,8,1,8,1,16,0;64;128;192;256;320;384;448;512;576;640;704;768;832;896;960,analytical,0.011968,0.005833,0.28492492344230413,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_1024/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_1024/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_1024.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_1024.stderr.log
4096,8,16,32,1,32,1,16,0;256;512;768;1024;1280;1536;1792;2048;2304;2560;2816;3072;3328;3584;3840,analytical,0.01383,0.006704,2.111493481323123,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_4096/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_4096/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_4096.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_4096.stderr.log
8192,8,16,64,1,64,1,16,0;512;1024;1536;2048;2560;3072;3584;4096;4608;5120;5632;6144;6656;7168;7680,analytical,0.012798,0.006114,6.474381343461573,PASS,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_8192/schedule,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/inputs/scale_8192/database_profile,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_8192.stdout.log,task_memory/task_2026-03-04_megatron_sim_engine_wallclock_scaling/results/logs/scale_8192.stderr.log
