Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
Kernel,2.69,7.95,3.54,6.38,25,0,77.05
splitKreduce_kernel,0.51,7.85,1.84,22.97,100,0,77.94
gatherTopK,2.16,3.25,0.11,6.17,62.50,88.62,95.94
bitonicSortKVInPlace,0.37,3.97,0.07,1.57,50,50,97.73
unrolled_elementwise_kernel,0.01,7.62,0.16,6.91,100,0,97.45
softmax_warp_forward,0.02,9.18,0.06,5.48,100,25,100.58
unrolled_elementwise_kernel,0.01,7.68,0.17,5.78,100,16.67,98.28
vectorized_elementwise_kernel,0.58,12.53,0.03,5.81,100,0,100.72
_scatter_gather_elementwise_kernel,0.01,7.58,0.19,6.22,100,0,97.94
reduce_kernel,0.25,5.56,1.41,6.28,37.50,40.74,81.11
distribution_elementwise_grid_stride_kernel,15.57,8.63,0.05,22.75,50,46.92,100.86
Kernel,2.69,7.91,3.53,6.26,25,0,74.73
splitKreduce_kernel,0.51,8.02,1.85,23.31,100,0,79.50
gatherTopK,2.19,3.42,0.11,6.17,62.50,88.69,98.75
bitonicSortKVInPlace,0.37,3.98,0.07,1.59,50,50,97.72
unrolled_elementwise_kernel,0.01,7.20,0.15,6.16,100,0,97.47
softmax_warp_forward,0.02,8.96,0.06,6.27,100,25,99.24
unrolled_elementwise_kernel,0.01,7.58,0.17,6.29,100,9.09,97.14
vectorized_elementwise_kernel,0.59,12.66,0.03,4.72,100,0,99.84
_scatter_gather_elementwise_kernel,0.01,7.09,0.18,6.02,100,0,96.53
reduce_kernel,0.23,5.17,1.35,6.28,37.50,40.51,78.74
distribution_elementwise_grid_stride_kernel,15.86,8.65,0.05,23.11,50,46.69,99.01
Kernel,2.61,7.70,3.43,6.21,25,0,76.92
splitKreduce_kernel,0.50,7.76,1.83,23.66,100,0,77.82
gatherTopK,2.19,3.30,0.11,6.46,62.50,88.80,96.00
bitonicSortKVInPlace,0.38,4.06,0.08,1.51,50,50,97.40
unrolled_elementwise_kernel,0.01,7.50,0.15,5.69,100,0,97.09
softmax_warp_forward,0.02,8.82,0.06,6.32,100,25,99.25
unrolled_elementwise_kernel,0.01,7.96,0.18,7.00,100,16.67,97.01
vectorized_elementwise_kernel,0.58,12.33,0.03,5.92,100,0,99.72
_scatter_gather_elementwise_kernel,0.01,7.09,0.18,6.21,100,0,98.53
reduce_kernel,0.23,5.03,1.31,6.76,37.50,40,78.75
unrolled_elementwise_kernel,0.01,9.17,0.18,4.18,100,0,97.04
vectorized_elementwise_kernel,0.00,9.87,0.04,4.14,100,0,99.44
vectorized_elementwise_kernel,0.01,9.34,0.04,4.18,100,0,99.35
vectorized_elementwise_kernel,0.01,9.81,0.05,4.80,100,40,99.15
vectorized_elementwise_kernel,0.01,9.63,0.05,4.54,100,0,99.07
vectorized_elementwise_kernel,0.01,9.87,0.04,5.07,100,0,99.58
vectorized_elementwise_kernel,0.01,8.71,0.05,4.78,100,0,99.46
DeviceReduceSingleTileKernel,0.02,8.69,0.11,12.02,100,0,98.42
DeviceCompactInitKernel,0.01,10.55,0.03,4.95,100,0,99.58
DeviceSelectSweepKernel,0.02,8.75,0.23,7.71,100,62.50,96.54
index_elementwise_kernel,0.01,6.89,0.30,2.90,75,0,94.61
vectorized_elementwise_kernel,0.00,10.38,0.04,4.49,100,0,99.64
unrolled_elementwise_kernel,0.01,9.69,0.20,3.62,62.50,0,97.17
reduce_kernel,0.02,5.58,0.32,1.43,50,0,93.07
reduce_kernel,0.02,6.18,0.35,1.62,50,0,93.39
vectorized_elementwise_kernel,0.00,9.66,0.03,5.06,100,0,100.08
vectorized_elementwise_kernel,0.01,9.48,0.04,4.35,100,0,99.36
vectorized_elementwise_kernel,0.02,8.74,0.07,4.01,62.50,0,99.11
vectorized_elementwise_kernel,0.03,8.82,0.05,6.03,100,0,99.39
vectorized_elementwise_kernel,0.02,8.60,0.05,5.31,100,0,98.97
vectorized_elementwise_kernel,0.03,9.30,0.05,5.66,100,0,98.99
unrolled_elementwise_kernel,0.01,9.38,0.18,3.28,100,0,97.39
vectorized_elementwise_kernel,0.00,9.99,0.04,4.42,100,0,99.20
vectorized_elementwise_kernel,0.01,9.59,0.04,4.65,100,0,99.13
vectorized_elementwise_kernel,0.01,10.00,0.05,3.68,100,40,99.32
vectorized_elementwise_kernel,0.01,9.22,0.05,4.76,100,0,99.24
vectorized_elementwise_kernel,0.01,9.50,0.04,5.93,100,0,99.28
vectorized_elementwise_kernel,0.01,9.63,0.05,4.60,100,0,99.33
DeviceReduceSingleTileKernel,0.02,9.04,0.11,13.54,100,0,100.02
DeviceCompactInitKernel,0.01,10.68,0.03,7.67,100,0,101.21
